year,college,college_short,college_type,district,branch,community,quota,cutoff_mark
2023,Government College of Engineering Salem,GCE Salem,Government,Salem,Computer Science and Engineering,OC,General,193.0
2023,Government College of Engineering Salem,GCE Salem,Government,Salem,Computer Science and Engineering,BC,General,191.0
2023,Government College of Engineering Salem,GCE Salem,Government,Salem,Computer Science and Engineering,BCM,General,190.0
2023,Government College of Engineering Salem,GCE Salem,Government,Salem,Computer Science and Engineering,MBC,General,191.0
2023,Government College of Engineering Salem,GCE Salem,Government,Salem,Computer Science and Engineering,SC,General,175.0
2023,Government College of Engineering Salem,GCE Salem,Government,Salem,Computer Science and Engineering,SCA,General,173.5
2022,Government College of Engineering Salem,GCE Salem,Government,Salem,Computer Science and Engineering,OC,General,193.5
2022,Government College of Engineering Salem,GCE Salem,Government,Salem,Computer Science and Engineering,BC,General,192.0
2022,Government College of Engineering Salem,GCE Salem,Government,Salem,Computer Science and Engineering,BCM,General,191.5
2022,Government College of Engineering Salem,GCE Salem,Government,Salem,Computer Science and Engineering,MBC,General,189.5
2022,Government College of Engineering Salem,GCE Salem,Government,Salem,Computer Science and Engineering,SC,General,181.0
2022,Government College of Engineering Salem,GCE Salem,Government,Salem,Computer Science and Engineering,SCA,General,178.3
2023,Government College of Engineering Salem,GCE Salem,Government,Salem,Electronics and Communication Engineering,OC,General,190.5
2023,Government College of Engineering Salem,GCE Salem,Government,Salem,Electronics and Communication Engineering,BC,General,184.5
2023,Government College of Engineering Salem,GCE Salem,Government,Salem,Electronics and Communication Engineering,BCM,General,188.5
2023,Government College of Engineering Salem,GCE Salem,Government,Salem,Electronics and Communication Engineering,MBC,General,187.5
2023,Government College of Engineering Salem,GCE Salem,Government,Salem,Electronics and Communication Engineering,SC,General,174.0
2023,Government College of Engineering Salem,GCE Salem,Government,Salem,Electronics and Communication Engineering,SCA,General,162.5
2023,Government College of Engineering Salem,GCE Salem,Government,Salem,Electronics and Communication Engineering,ST,General,185.0
2022,Government College of Engineering Salem,GCE Salem,Government,Salem,Electronics and Communication Engineering,OC,General,191.5
2022,Government College of Engineering Salem,GCE Salem,Government,Salem,Electronics and Communication Engineering,BC,General,190.0
2022,Government College of Engineering Salem,GCE Salem,Government,Salem,Electronics and Communication Engineering,BCM,General,180.5
2022,Government College of Engineering Salem,GCE Salem,Government,Salem,Electronics and Communication Engineering,MBC,General,187.85
2022,Government College of Engineering Salem,GCE Salem,Government,Salem,Electronics and Communication Engineering,SC,General,175.5
2022,Government College of Engineering Salem,GCE Salem,Government,Salem,Electronics and Communication Engineering,SCA,General,166.07
2023,Government College of Engineering Bargur,GCE Bargur,Government,Krishnagiri,Computer Science and Engineering,OC,General,184.0
